,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
min,4.6,0.12,0.0,0.9,0.012,1.0,6.0,0.99007,2.74,0.33,8.4,3.0
max,15.9,1.58,1.0,15.5,0.611,72.0,289.0,1.00369,4.01,2.0,14.9,8.0
mean,8.31963727329581,0.5278205128205128,0.2709756097560976,2.53880550343965,0.08746654158849279,15.874921826141339,46.46779237023139,0.9967466791744841,3.3111131957473416,0.6581488430268917,10.422983114446529,5.6360225140712945
std,1.7405518001102729,0.17900370424469014,0.19474021445233364,1.4094871124880495,0.04705058260331571,10.45688561493072,32.88503665178374,0.0018867437008323914,0.15433818141060165,0.16945396724179546,1.0653343003437483,0.8073168769639513
Q1,7.1,0.39,0.09,1.9,0.07,7.0,22.0,0.9956,3.21,0.55,9.5,5.0
Q2 (median),7.9,0.52,0.26,2.2,0.079,14.0,38.0,0.99675,3.31,0.62,10.2,6.0
Q3,9.2,0.64,0.42,2.6,0.09,21.0,62.0,0.997835,3.4,0.73,11.1,6.0
IRQ,2.0999999999999996,0.25,0.32999999999999996,0.7000000000000002,0.01999999999999999,14.0,40.0,0.002234999999999987,0.18999999999999995,0.17999999999999994,1.5999999999999996,1.0
normalMin,3.95,0.015000000000000013,-0.4049999999999999,0.8499999999999996,0.04000000000000002,-14.0,-38.0,0.9922475000000001,2.925,0.28000000000000014,7.1000000000000005,3.5
normalMax,12.349999999999998,1.0150000000000001,0.9149999999999999,3.6500000000000004,0.11999999999999998,42.0,122.0,1.0011875,3.6849999999999996,0.9999999999999999,13.5,7.5
