LON,LAT,EDO,CLAVE,ESTACION,ene-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",1.5
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",5.5
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",1.75
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",0.01
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",1.7
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0.1
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",0.01
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",2.3
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",1.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0.2
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.4
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",2.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",0.1
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",1.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",2
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",1.7
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",0.6
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",0.41
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",2.6
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",13.9
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",13.61
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",11.21
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.81
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",6
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",12
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",8.6
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",0.6
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",20.2
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",6.6
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.01
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",2.61
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",0.5
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",43
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",47.3
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",125.52
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",70
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",38
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",67
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",49.33
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",80.11
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",93.41
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",31
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",47.8
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",83.4
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",81
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",74.4
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",36.5
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",32.1
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",59.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",0.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0.01
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.21
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",0.25
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",0.75
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",1.02
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",4.2
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",2
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0.3
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0.02
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",0
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",0
