,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.2561308947703812,0.6717034347641064,0.11477672449492153,0.09370518632130553,-0.15379419286482468,-0.11318144304548165,0.6680472921189573,-0.6829781945685302,0.18300566393215362,-0.061668270628151035,0.12405164911322257
volatile acidity,-0.2561308947703812,1.0,-0.5524956845595799,0.0019178819627909175,0.061297772476461614,-0.01050382700659221,0.07647000482092811,0.02202623219523293,0.23493729440739305,-0.26098668528328917,-0.20228802715325636,-0.390557780264006
citric acid,0.6717034347641064,-0.5524956845595799,1.0,0.14357716157031455,0.20382291382904225,-0.06097812919230487,0.03553302393116163,0.36494717521123443,-0.5419041447395107,0.3127700438544169,0.109903246641567,0.22637251431804045
residual sugar,0.11477672449492153,0.0019178819627909175,0.14357716157031455,1.0,0.05560953520353226,0.18704899510428707,0.20302788169710137,0.35528337098334967,-0.08565242221887187,0.005527121339138446,0.04207543720973079,0.013731637340065779
chlorides,0.09370518632130553,0.061297772476461614,0.20382291382904225,0.05560953520353226,1.0,0.005562147004781131,0.047400468259075415,0.20063232664151953,-0.2650261311732267,0.3712604812854267,-0.22114054478828277,-0.12890655993005293
free sulfur dioxide,-0.15379419286482468,-0.01050382700659221,-0.06097812919230487,0.18704899510428707,0.005562147004781131,1.0,0.667666450481023,-0.021945831163508164,0.0703774985049412,0.05165757184282859,-0.06940835356500007,-0.05065605724427594
total sulfur dioxide,-0.11318144304548165,0.07647000482092811,0.03553302393116163,0.20302788169710137,0.047400468259075415,0.667666450481023,1.0,0.07126947620312808,-0.06649455901285463,0.04294683623953878,-0.20565394374367102,-0.1851002889265377
density,0.6680472921189573,0.02202623219523293,0.36494717521123443,0.35528337098334967,0.20063232664151953,-0.021945831163508164,0.07126947620312808,1.0,-0.34169933478501163,0.1485064117207901,-0.4961797702417342,-0.17491922778336458
pH,-0.6829781945685302,0.23493729440739305,-0.5419041447395107,-0.08565242221887187,-0.2650261311732267,0.0703774985049412,-0.06649455901285463,-0.34169933478501163,1.0,-0.19664760230436984,0.2056325085054961,-0.05773139120538257
sulphates,0.18300566393215362,-0.26098668528328917,0.3127700438544169,0.005527121339138446,0.3712604812854267,0.05165757184282859,0.04294683623953878,0.1485064117207901,-0.19664760230436984,1.0,0.0935947504104671,0.25139707906925995
alcohol,-0.061668270628151035,-0.20228802715325636,0.109903246641567,0.04207543720973079,-0.22114054478828277,-0.06940835356500007,-0.20565394374367102,-0.4961797702417342,0.2056325085054961,0.0935947504104671,1.0,0.47616632400113656
quality,0.12405164911322257,-0.390557780264006,0.22637251431804045,0.013731637340065779,-0.12890655993005293,-0.05065605724427594,-0.1851002889265377,-0.17491922778336458,-0.05773139120538257,0.25139707906925995,0.47616632400113656,1.0
