"","x"
"1",40026.4691569856
"2",34280.6745632255
"3",37445.756328216
"4",35626.9847523303
"5",34690.0935828041
"6",33932.4661321593
"7",36939.7180292948
"8",35553.7494136926
"9",35343.4797241767
"10",35367.8917076532
"11",41390.7431360037
"12",34504.0381539127
"13",34589.931111864
"14",31953.0189579817
"15",37366.7667335717
"16",37040.621567076
"17",49489.6244843391
"18",38237.5802174061
"19",34789.7936271574
"20",31852.8305776595
"21",37789.429115447
"22",31872.5727108435
"23",36171.495390686
"24",32329.4815286162
"25",36922.1994088141
"26",32505.9176356335
"27",35079.2197916738
"28",34601.1657838453
"29",39469.9998182043
"30",37929.952752655
"31",35917.3398507292
"32",33325.6099401039
"33",35181.9062085775
"34",34830.8643908566
"35",36010.8859530794
"36",40023.6962851212
"37",36422.8682861406
"38",36761.7963689356
"39",33329.9814332064
"40",32872.4817403526
"41",37982.9763641501
"42",33439.3195283484
"43",40846.6242108426
"44",34846.8658283072
"45",39464.5740664194
"46",33734.3826508363
"47",39019.3035148219
"48",35322.4295506515
"49",35228.9571232679
"50",32630.4853212982
